lat,lon
38.4748,-76.3312
38.4751,-76.3312
38.4751,-76.3302
38.4759,-76.3302
38.4716,-76.3256
38.4735,-76.325
38.4673,-76.3242
38.4939,-76.3226
38.492,-76.3188
38.4796,-76.3175
38.4799,-76.3175
38.4861,-76.317
38.4929,-76.3143
38.4931,-76.3143
38.4745,-76.314
38.4748,-76.314
38.4748,-76.3137
38.4764,-76.3137
38.478,-76.3137
38.4718,-76.3129
38.4759,-76.3126
38.4918,-76.3126
38.4675,-76.3121
38.4667,-76.3118
38.4683,-76.3118
38.4559,-76.3116
38.4745,-76.3116
38.4705,-76.3108
38.4702,-76.3105
38.4732,-76.3105
38.454,-76.3102
38.4651,-76.31
38.4659,-76.3097
38.467,-76.3097
38.4675,-76.3097
38.4667,-76.3094
38.467,-76.3094
38.4675,-76.3094
38.4678,-76.3094
38.4683,-76.3094
38.4686,-76.3094
38.4689,-76.3094
38.4691,-76.3094
38.4683,-76.3091
38.4702,-76.3091
38.4729,-76.3091
38.4918,-76.3091
38.4656,-76.3083
38.4659,-76.3083
38.4662,-76.3083
38.4664,-76.3083
38.4532,-76.3081
38.4937,-76.3081
38.4527,-76.3078
38.4929,-76.3078
38.4497,-76.307
38.45,-76.307
38.4678,-76.307
38.4497,-76.3067
38.4702,-76.3067
38.4786,-76.3062
38.4635,-76.3059
38.4667,-76.3059
38.4489,-76.3056
38.4492,-76.3056
38.4724,-76.304
38.4624,-76.3038
38.4627,-76.3038
38.4627,-76.3035
38.4697,-76.3032
38.4697,-76.3029
38.4433,-76.3011
38.4435,-76.3011
38.439,-76.2989
38.4392,-76.2989
38.4395,-76.2989
38.4398,-76.2989
38.439,-76.2986
38.4392,-76.2986
38.4395,-76.2986
38.4398,-76.2986
38.4611,-76.2986
38.4365,-76.2978
38.4449,-76.2976
38.4611,-76.2976
38.4974,-76.2962
38.4298,-76.2957
38.4314,-76.2957
38.4939,-76.2954
38.5715,-76.2951
38.4888,-76.2943
38.4982,-76.2941
38.4274,-76.2935
38.4826,-76.2935
38.5745,-76.2924
38.4301,-76.2922
38.4274,-76.2908
38.4934,-76.2903
38.4953,-76.2903
38.4877,-76.2881
38.4872,-76.287
38.4915,-76.2868
38.4918,-76.2868
38.5724,-76.2868
38.5737,-76.2862
38.491,-76.2854
38.5751,-76.2852
38.564,-76.2846
38.5751,-76.2838
38.5705,-76.283
38.5643,-76.2798
38.6209,-76.2798
38.619,-76.2784
38.6192,-76.2784
38.6195,-76.2784
38.6206,-76.2784
38.5376,-76.2773
38.5357,-76.2755
38.5368,-76.2755
38.5371,-76.2755
38.6112,-76.2755
38.5368,-76.2752
38.6074,-76.2744
38.4136,-76.2741
38.6052,-76.2733
38.6055,-76.2733
38.6058,-76.2733
38.4912,-76.273
38.6055,-76.273
38.6058,-76.273
38.6066,-76.273
38.4274,-76.2722
38.4888,-76.2706
38.492,-76.2706
38.6047,-76.2695
38.395,-76.2693
38.595,-76.2693
38.4699,-76.2682
38.4072,-76.266
38.4691,-76.2658
38.4699,-76.2658
38.471,-76.2658
38.5891,-76.2658
38.4718,-76.2655
38.4702,-76.2644
38.471,-76.2644
38.4718,-76.2644
38.4726,-76.2644
38.4702,-76.2641
38.471,-76.2641
38.5721,-76.2641
38.5724,-76.2641
38.4637,-76.2639
38.5624,-76.2639
38.5613,-76.2636
38.5624,-76.2636
38.3888,-76.2633
38.3891,-76.2633
38.4069,-76.2633
38.5643,-76.2633
38.5675,-76.2633
38.5605,-76.2625
38.5678,-76.2623
38.5683,-76.2623
38.5686,-76.2623
38.5689,-76.2623
38.5691,-76.2623
38.5694,-76.2623
38.5672,-76.262
38.5678,-76.262
38.5683,-76.262
38.5686,-76.262
38.5694,-76.262
38.5691,-76.2617
38.5535,-76.2614
38.554,-76.2614
38.3867,-76.2612
38.3875,-76.2612
38.5602,-76.2612
38.5605,-76.2612
38.561,-76.2612
38.5616,-76.2612
38.5635,-76.2612
38.564,-76.2612
38.3872,-76.2609
38.3875,-76.2609
38.5667,-76.2609
38.5659,-76.2606
38.5664,-76.2606
38.5686,-76.2606
38.5697,-76.2606
38.4605,-76.2604
38.5546,-76.2604
38.5556,-76.2604
38.5559,-76.2604
38.5767,-76.2604
38.5775,-76.2604
38.5605,-76.2601
38.5613,-76.2601
38.5616,-76.2601
38.5775,-76.2601
38.4608,-76.2598
38.4632,-76.2598
38.464,-76.2598
38.5829,-76.2598
38.5489,-76.2596
38.5492,-76.2596
38.5678,-76.2596
38.5694,-76.2596
38.3721,-76.2593
38.3724,-76.2593
38.5532,-76.259
38.5551,-76.259
38.5565,-76.259
38.557,-76.259
38.5775,-76.259
38.4594,-76.2587
38.5551,-76.2587
38.5559,-76.2587
38.5562,-76.2587
38.5565,-76.2587
38.5567,-76.2587
38.5678,-76.2585
38.3732,-76.2582
38.5508,-76.2582
38.567,-76.2582
38.3713,-76.2579
38.3732,-76.2579
38.5511,-76.2579
38.5527,-76.2579
38.553,-76.2579
38.5538,-76.2579
38.554,-76.2579
38.5543,-76.2579
38.6095,-76.2579
38.4597,-76.2577
38.46,-76.2577
38.4602,-76.2577
38.557,-76.2577
38.5573,-76.2577
38.5786,-76.2577
38.3864,-76.2574
38.553,-76.2569
38.4565,-76.2566
38.4592,-76.2566
38.5578,-76.2566
38.5581,-76.2566
38.5751,-76.2566
38.4605,-76.2563
38.3681,-76.2561
38.3697,-76.2561
38.37,-76.2561
38.3894,-76.2561
38.6087,-76.2561
38.3694,-76.2558
38.3708,-76.2558
38.3721,-76.2558
38.3894,-76.2558
38.3721,-76.2555
38.553,-76.2552
38.3832,-76.255
38.384,-76.255
38.4546,-76.2542
38.4597,-76.2542
38.46,-76.2542
38.4597,-76.2539
38.46,-76.2539
38.4605,-76.2539
38.46,-76.2536
38.5408,-76.2536
38.6036,-76.2536
38.4538,-76.2531
38.4549,-76.2531
38.4576,-76.2528
38.5403,-76.2525
38.5592,-76.2525
38.5438,-76.2523
38.5441,-76.2523
38.3735,-76.2517
38.4589,-76.2515
38.3851,-76.2512
38.6036,-76.2509
38.6047,-76.2509
38.3724,-76.2507
38.5939,-76.2507
38.5931,-76.2504
38.419,-76.2501
38.5406,-76.2501
38.5998,-76.2501
38.6066,-76.2496
38.6087,-76.2496
38.6004,-76.2488
38.6225,-76.2488
38.609,-76.2482
38.4955,-76.248
38.4966,-76.2477
38.5982,-76.2477
38.6012,-76.2477
38.6015,-76.2477
38.5012,-76.2474
38.6012,-76.2474
38.6017,-76.2474
38.492,-76.2469
38.4923,-76.2469
38.4947,-76.2469
38.4931,-76.2466
38.4958,-76.2466
38.6128,-76.2466
38.3638,-76.2464
38.5009,-76.2464
38.4063,-76.2461
38.4063,-76.2458
38.4869,-76.2458
38.5069,-76.2458
38.4915,-76.2455
38.492,-76.2455
38.4923,-76.2455
38.4942,-76.2455
38.3603,-76.2453
38.6012,-76.2453
38.3603,-76.245
38.5004,-76.245
38.6012,-76.245
38.4074,-76.2447
38.4861,-76.2447
38.4869,-76.2447
38.5861,-76.2447
38.4931,-76.2445
38.4942,-76.2445
38.4955,-76.2445
38.4958,-76.2445
38.4939,-76.2442
38.4942,-76.2442
38.4953,-76.2442
38.4955,-76.2442
